#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／HR（99=集会場入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,氷耐性,雷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
ユクモノコテ,0,0,1,1,1,1,1,21,0,0,0,3,0,加護,2,気まぐれ,2,達人,1,,,,,ユクモの木,2,ツタの葉,1,,,,
レザーグラブ,0,0,1,1,1,1,1,21,-1,0,0,0,1,高速収集,3,採取,3,気まぐれ,1,,,,,暖かい毛皮,2,,,,,,
チェーングラブ,0,0,1,1,1,1,2,22,2,1,1,-2,0,体力,4,調合成功率,1,調合数,2,,,,,鉄鉱石,1,ユクモの木,2,,,,
ハンターアーム,0,1,1,1,1,1,6,25,0,1,0,-4,0,狩人,2,千里眼,3,高速設置,2,毒,-2,,,大地の結晶,1,ジャギィの鱗,2,ツタの葉,1,,
ハンターガード,0,2,1,1,1,1,3,16,1,2,0,-2,1,狩人,2,千里眼,3,高速設置,2,毒,-2,,,大地の結晶,1,ジャギィの鱗,2,ツタの葉,1,,
ボーンアーム,0,1,1,1,1,1,8,27,2,0,-2,-1,0,笛,2,採取,4,KO,1,睡眠,-2,,,竜骨【小】,3,なぞの骨,3,とがった牙,2,,
ボーンガード,0,2,1,1,1,1,4,17,4,0,-1,0,0,笛,4,採取,1,KO,2,睡眠,-2,,,竜骨【小】,3,なぞの骨,3,とがった牙,2,,
アロイアーム,0,1,1,1,1,1,8,27,-1,1,-2,-2,-1,風圧,1,達人,4,研ぎ師,1,採取,-3,,,マカライト鉱石,2,ベアライト石,2,鉄鉱石,4,,
アロイガード,0,2,1,1,1,1,4,17,0,2,-1,-1,0,散弾強化,2,装填速度,2,散弾追加,3,採取,-2,,,マカライト鉱石,2,ベアライト石,2,鉄鉱石,4,,
ブナハグローブ,0,1,2,2,1,1,10,29,-5,-2,-2,2,4,特殊攻撃,1,納刀,4,気配,1,攻撃,-1,,,飛甲虫の羽,3,飛甲虫の甲殻,2,飛甲虫の麻痺針,5,キラビートル,2
ブナハカフス,0,2,2,2,1,1,5,18,-3,-1,-1,3,5,特殊攻撃,1,納刀,3,気配,1,攻撃,-2,,,飛甲虫の羽,3,飛甲虫の甲殻,2,飛甲虫の麻痺針,5,キラビートル,2
リノプロアーム,0,1,2,1,1,2,10,29,2,-2,-2,-2,1,気力回復,1,砲術,3,氷耐性,-1,防御,4,,,草食竜の甲殻,2,竜骨【中】,4,氷結晶,2,,
リノプロガード,0,2,2,1,1,2,5,18,3,-1,-1,-1,2,気力回復,1,砲術,2,氷耐性,-2,防御,4,,,草食竜の甲殻,2,竜骨【中】,4,氷結晶,2,,
ジャギィアーム,0,1,2,1,1,2,12,31,-4,-2,-2,-2,1,攻撃,3,観察眼,2,回復速度,3,効果持続,-1,,,狗竜の爪,2,狗竜の皮,3,ジャギィの鱗,2,大地の結晶,2
ジャギィガード,0,2,2,1,1,2,6,19,-2,-1,-1,-1,2,攻撃,3,観察眼,2,回復速度,2,効果持続,-2,,,狗竜の爪,2,狗竜の皮,3,ジャギィの鱗,2,大地の結晶,2
アシラアーム,0,1,2,1,1,1,12,31,-3,1,-2,-1,1,食いしん坊,3,防御,3,気絶,2,麻痺,-1,,,青熊獣の甲殻,2,青熊獣の腕甲,1,青熊獣の毛,2,甲虫の腹袋,2
アシラガード,0,2,2,1,1,1,6,19,-2,2,-1,0,3,食いしん坊,2,防御,3,気絶,3,麻痺,-1,,,青熊獣の甲殻,2,青熊獣の腕甲,1,青熊獣の毛,2,甲虫の腹袋,2
スティールアーム,0,1,2,0,1,3,14,33,2,0,2,-2,0,防御,5,研ぎ師,4,抗菌,2,,,,,アイシスメタル,4,ライトクリスタル,1,シーブライト鉱石,2,鉄鉱石,5
フロギィアーム,0,1,2,1,1,3,14,33,2,-2,-4,1,0,体術,2,観察眼,3,毒,2,気絶,-2,,,毒狗竜の腕甲,2,毒狗竜の皮,2,フロギィの鱗,2,セッチャクロアリ,3
フロギィガード,0,2,2,1,1,3,7,20,4,-1,-2,2,0,体術,3,観察眼,2,毒,2,気絶,-2,,,毒狗竜の腕甲,2,毒狗竜の皮,2,フロギィの鱗,2,セッチャクロアリ,3
ウルクアーム,0,1,2,1,1,3,14,33,-4,2,2,-2,1,回避性能,1,耐寒,4,耐暑,-2,納刀,2,,,白兎獣の氷爪,2,白兎獣の毛,2,白兎獣の腹甲,1,なめらかな皮,4
ウルクガード,0,2,2,1,1,3,7,20,-2,3,4,-1,3,回避性能,2,耐寒,3,耐暑,-2,納刀,2,,,白兎獣の氷爪,2,白兎獣の毛,2,白兎獣の腹甲,1,なめらかな皮,4
ペッコアーム,0,1,2,1,1,3,12,31,2,-2,-4,-1,2,広域,1,千里眼,4,回復量,2,食事,-2,,,火打石,1,彩鳥の羽根,2,彩鳥の鱗,2,雷光虫,2
ペッコガード,0,2,2,1,1,3,6,19,4,-1,-3,0,4,広域,2,千里眼,3,回復量,2,食事,-2,,,火打石,1,彩鳥の羽根,2,彩鳥の鱗,2,雷光虫,2
ルドロスアーム,0,1,2,1,1,3,14,33,-4,2,-2,-2,1,スタミナ,1,腹減り,2,雷耐性,-2,減気攻撃,4,,,水獣の爪,1,水獣の鱗,2,海綿質の皮,2,水袋,2
ルドロスガード,0,2,2,1,1,3,7,20,-2,4,-1,-1,2,スタミナ,1,腹減り,2,雷耐性,-2,減気攻撃,4,,,水獣の爪,1,水獣の鱗,2,海綿質の皮,2,水袋,2
