#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／HR（99=集会場入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,氷耐性,雷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
ユクモノドウギ,0,0,1,1,1,1,1,21,0,0,0,3,0,加護,2,気まぐれ,2,達人,1,,,,,ユクモの木,2,ツタの葉,2,,,,
レザーベスト,0,0,1,0,1,1,1,21,-1,0,0,0,1,高速収集,3,採取,3,気まぐれ,2,,,,,ファンゴの毛皮,1,鉄鉱石,1,,,,
チェーンベスト,0,0,1,0,1,1,2,22,2,1,1,-2,0,体力,3,調合成功率,3,調合数,3,,,,,鉄鉱石,2,ユクモの木,1,,,,
ハンターメイル,0,1,1,1,1,1,6,25,0,1,0,-4,0,狩人,3,千里眼,2,高速設置,1,毒,-1,,,鉄鉱石,2,ジャギィの鱗,1,ファンゴの毛皮,2,,
ハンターレジスト,0,2,1,1,1,1,3,16,1,2,0,-2,1,狩人,2,千里眼,2,高速設置,1,毒,-2,,,鉄鉱石,2,ジャギィの鱗,1,ファンゴの毛皮,2,,
ロックラックスーツ,0,0,1,1,1,1,4,24,2,-3,0,1,0,運搬,2,腹減り,5,,,,,,,甲虫の腹袋,1,モンスターの体液,3,氷結晶,3,,
ボーンメイル,0,1,1,1,1,1,8,27,2,0,-2,-1,0,笛,1,採取,2,KO,3,睡眠,-1,,,大きな骨,1,なぞの骨,4,とがった牙,2,,
ボーンレジスト,0,2,1,1,1,1,4,17,4,0,-1,0,0,笛,2,採取,2,KO,1,睡眠,-2,,,大きな骨,1,なぞの骨,4,とがった牙,2,,
アロイメイル,0,1,1,1,1,1,8,27,-1,1,-2,-2,-1,風圧,1,達人,2,研ぎ師,2,採取,-2,,,マカライト鉱石,3,シーブライト鉱石,2,鉄鉱石,2,,
アロイレジスト,0,2,1,1,1,1,4,17,0,2,-1,-1,0,散弾強化,2,装填速度,2,散弾追加,1,採取,-2,,,マカライト鉱石,3,シーブライト鉱石,2,鉄鉱石,2,,
ブナハスーツ,0,1,2,1,1,1,10,29,-5,-2,-2,2,4,特殊攻撃,3,納刀,1,気配,1,攻撃,-2,,,飛甲虫の甲殻,2,飛甲虫の羽,3,モンスターの体液,2,キラビートル,1
