#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／HR（99=集会場入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,氷耐性,雷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
ユクモノハカマ,0,0,1,0,1,1,1,21,0,0,0,3,0,加護,2,気まぐれ,2,達人,2,,,,,ユクモの木,2,セッチャクロアリ,2,,,,
レザーパンツ,0,0,1,1,1,1,1,21,-1,0,0,0,1,高速収集,2,採取,1,気まぐれ,4,,,,,暖かい毛皮,2,,,,,,
チェーンパンツ,0,0,1,1,1,1,2,22,2,1,1,-2,0,体力,2,調合成功率,2,調合数,3,,,,,鉄鉱石,2,ユクモの木,2,,,,
ハンターグリーヴ,0,1,1,1,1,1,6,25,0,1,0,-4,0,狩人,2,千里眼,3,高速設置,2,毒,-2,,,鉄鉱石,1,ファンゴの毛皮,1,ユクモの木,2,,
ハンターレギンス,0,2,1,1,1,1,3,16,1,2,0,-2,1,狩人,1,千里眼,3,高速設置,3,毒,-2,,,鉄鉱石,1,ファンゴの毛皮,1,ユクモの木,2,,
ロックラックブーツ,0,0,1,1,1,1,4,24,2,-3,0,1,0,運搬,6,腹減り,3,,,,,,,甲虫の大顎,3,甲虫の腹袋,2,氷結晶,3,,
ボーングリーヴ,0,1,1,1,1,1,8,27,2,0,-2,-1,0,笛,4,採取,3,KO,1,睡眠,-1,,,竜骨【中】,2,棒状の骨,2,なぞの骨,4,,
ボーンレギンス,0,2,1,1,1,1,4,17,4,0,-1,0,0,笛,1,採取,4,KO,1,睡眠,-3,,,竜骨【中】,2,棒状の骨,2,なぞの骨,4,,
アロイグリーヴ,0,1,1,1,1,1,8,27,-1,1,-2,-2,-1,風圧,4,達人,2,研ぎ師,1,採取,-2,,,マカライト鉱石,4,ベアライト石,2,鉄鉱石,2,,
アロイレギンス,0,2,1,1,1,1,4,17,0,2,-1,-1,0,散弾強化,3,装填速度,1,散弾追加,3,採取,-2,,,マカライト鉱石,4,ベアライト石,2,鉄鉱石,2,,
ブナハブーツ,0,1,2,1,1,1,10,29,-5,-2,-2,2,4,特殊攻撃,3,納刀,3,気配,1,攻撃,-2,,,飛甲虫の甲殻,2,飛甲虫の羽,3,キラビートル,2,セッチャクロアリ,3
ブナハフット,0,2,2,1,1,1,5,18,-3,-1,-1,3,5,特殊攻撃,2,納刀,1,気配,3,攻撃,-3,,,飛甲虫の甲殻,2,飛甲虫の羽,3,キラビートル,2,セッチャクロアリ,3
リノプログリーヴ,0,1,2,1,1,2,10,29,2,-2,-2,-2,1,気力回復,2,砲術,4,耐泥耐雪,1,氷耐性,-2,,,草食竜の甲殻,2,竜骨【小】,6,氷結晶,2,,
リノプロレギンス,0,2,2,1,1,2,5,18,3,-1,-1,-1,2,気力回復,1,砲術,2,精密射撃,4,氷耐性,-2,,,草食竜の甲殻,2,竜骨【小】,6,氷結晶,2,,
ジャギィグリーヴ,0,1,2,1,1,2,12,31,-4,-2,-2,-2,1,攻撃,2,観察眼,3,回復速度,2,効果持続,-2,,,ジャギィの皮,4,ジャギィの鱗,3,竜骨【小】,4,マカライト鉱石,2
