#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／HR（99=集会場入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,氷耐性,雷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
ユクモノオビ,0,0,1,1,1,1,1,21,0,0,0,3,0,加護,2,気まぐれ,2,達人,1,,,,,ユクモの木,1,鉄鉱石,2,,,,
レザーベルト,0,0,1,0,1,1,1,21,-1,0,0,0,1,高速収集,2,採取,4,気まぐれ,3,,,,,ファンゴの毛皮,1,鉄鉱石,1,,,,
チェーンベルト,0,0,1,1,1,1,2,22,2,1,1,-2,0,体力,1,調合成功率,3,調合数,3,,,,,鉄鉱石,1,暖かい毛皮,2,,,,
ハンターフォールド,0,1,1,1,1,1,6,25,0,1,0,-4,0,狩人,1,千里眼,4,高速設置,2,毒,-2,,,ファンゴの毛皮,2,鉄鉱石,1,セッチャクロアリ,1,,
ハンターコート,0,2,1,1,1,1,3,16,1,2,0,-2,1,狩人,2,千里眼,2,高速設置,3,毒,-2,,,ファンゴの毛皮,2,鉄鉱石,1,セッチャクロアリ,1,,
ロックラックコイル,0,0,1,1,1,1,4,24,2,-3,0,1,0,運搬,4,腹減り,5,,,,,,,甲虫の腹袋,2,甲虫の大顎,2,氷結晶,3,,
ボーンフォールド,0,1,1,1,1,1,8,27,2,0,-2,-1,0,笛,3,採取,1,KO,3,睡眠,-2,,,竜骨【小】,3,棒状の骨,3,とがった牙,2,,
ボーンコート,0,2,1,1,1,1,4,17,4,0,-1,0,0,笛,1,採取,4,KO,3,睡眠,-1,,,竜骨【小】,3,棒状の骨,3,とがった牙,2,,
アロイコイル,0,1,1,2,1,1,8,27,-1,1,-2,-2,-1,風圧,2,達人,3,研ぎ師,1,採取,-1,,,マカライト鉱石,2,シーブライト鉱石,2,鉄鉱石,3,,
アロイコート,0,2,1,2,1,1,4,17,0,2,-1,-1,0,散弾強化,1,装填速度,1,散弾追加,2,採取,-3,,,マカライト鉱石,2,シーブライト鉱石,2,鉄鉱石,3,,
ブナハコイル,0,1,2,1,1,1,10,29,-5,-2,-2,2,4,特殊攻撃,3,納刀,1,気配,3,攻撃,-2,,,飛甲虫の羽,3,飛甲虫の甲殻,2,モンスターの体液,1,キラビートル,2
ブナハコート,0,2,2,1,1,1,5,18,-3,-1,-1,3,5,特殊攻撃,2,納刀,3,気配,2,攻撃,-2,,,飛甲虫の羽,3,飛甲虫の甲殻,2,モンスターの体液,1,キラビートル,2
リノプロコイル,0,1,2,1,1,2,10,29,2,-2,-2,-2,1,気力回復,3,砲術,3,耐泥耐雪,2,氷耐性,-1,,,草食竜の甲殻,2,草食竜の頭殻,1,大地の結晶,2,,
リノプロコート,0,2,2,1,1,2,5,18,3,-1,-1,-1,2,気力回復,2,砲術,4,精密射撃,1,氷耐性,-2,,,草食竜の甲殻,2,草食竜の頭殻,1,大地の結晶,2,,
ジャギィフォールド,0,1,2,1,1,2,12,31,-4,-2,-2,-2,1,攻撃,3,観察眼,1,回復速度,4,効果持続,-1,,,狗竜の皮,2,王者のエリマキ,1,ジャギィの皮,3,大地の結晶,1
ジャギィコート,0,2,2,1,1,2,6,19,-2,-1,-1,-1,2,攻撃,2,観察眼,3,回復速度,2,効果持続,-2,,,狗竜の皮,2,王者のエリマキ,1,ジャギィの皮,3,大地の結晶,1
アシラフォールド,0,1,2,1,1,1,12,31,-3,1,-2,-1,1,食いしん坊,3,防御,2,気絶,3,麻痺,-1,,,青熊獣の毛,2,青熊獣の甲殻,1,大きな骨,1,セッチャクロアリ,3
アシラコート,0,2,2,1,1,1,6,19,-2,2,-1,0,3,食いしん坊,2,防御,1,気絶,3,麻痺,-3,,,青熊獣の毛,2,青熊獣の甲殻,1,大きな骨,1,セッチャクロアリ,3
スティールフォールド,0,1,2,0,1,2,14,33,2,0,2,-2,0,防御,2,研ぎ師,4,抗菌,5,,,,,アイシスメタル,4,ベアライト石,2,シーブライト鉱石,1,鉄鉱石,5
フロギィフォールド,0,1,2,1,1,3,14,33,2,-2,-4,1,0,体術,3,観察眼,3,気絶,-1,特殊攻撃,2,,,フロギィの皮,3,フロギィの鱗,2,竜骨【小】,6,キラビートル,3
フロギィコート,0,2,2,1,1,3,7,20,4,-1,-2,2,0,体術,1,観察眼,3,気絶,-3,特殊攻撃,2,,,フロギィの皮,3,フロギィの鱗,2,竜骨【小】,6,キラビートル,3
